text,type,sum,judgement
оемгемяйюъ НАК,organization,7,f
Thierry Mariani’s,person,7,t
Breitbart News,organization,7,t
Ms Marković,person,7,f
Michael McNamara’s,person,7,t
Geneva Place,organization,7,f
Olga Zakharova’s,person,7,t
East Timorese,organization,7,f
Institutional Affairs,organization,7,f
Ms Christoffersen,person,7,f
РОССИЙСКОЙ ФЕДЕРАЦИИ ПО,organization,7,f
Frank Schwabe,person,7,t
CANTON BUSINESS CORPORATION,organization,7,t
BRITISH VIRGIN ISLANDS,organization,7,f
Ms Brasseur,person,7,f
Tony Lloyd,person,7,f
European Economic,organization,7,f
лю опхлнпяйнцн,person,7,f
Sergei Skripal,person,6,t
векъахмяйюъ НАК,organization,6,f
the Parliamentary Assembly of the Council of Europe,organization,6,f
Shen Zhen,person,6,t
the Division of Gaming Enforcement,organization,6,f
ясляйюъ НАК,organization,6,f
Haya Tariq Khalid Alhomaizi,person,6,t
Board of Directors,organization,6,f
йхпнбяйюъ НАК,organization,6,f
the Public Advocate,organization,6,f
the Greater London Council,organization,6,f
люцюдюмяйюъ НАК,organization,6,f
Юлии Дмитриевне,person,6,t
рюьйемряйюъ НАК,organization,6,f
Mr Strässer’s,person,6,f
бнпньхкнбцпюдяйюъ НАК,organization,6,f
Miscellaneous Provisions) Act,organization,6,f
улекэмхжйюъ НАК,organization,6,f
Yuri Dzhibladze’s,person,6,t
PO BOX,organization,6,f
the Code of Conduct,organization,6,f
Mayfair) Estate (2) Belgravia Leaseholds,organization,6,f
Jaakko Laakso,person,6,t
Axel Fischer,person,6,t
Dragana Filipović,person,6,t
Radouane Lakdim,person,6,t
Citizens of the City of Westminster,organization,6,f
Trump Castle Associates',organization,6,t
Edward Snowden,person,6,t
Khalid Tariq Khalid Alhomaizi,person,6,t
the Commission,organization,6,f
Emilio De Capitani,person,6,t
of Human,organization,6,f
the Retained Land,organization,6,f
Witness K.,person,6,f
Local Government,organization,6,f
BRITISH VIRGIN,organization,6,f
нак сярэ,organization,6,f
Mr Agramunt,organization,6,f
George Soros,person,6,t
Ehud Barak,person,6,t
Georges Clerfayt,person,6,t
the Informaton Database,organization,6,f
Republic of Panama,organization,6,f
 Ms,person,6,f
Sächsische Lokalrundfunk Dienstleistungs-Programm GmbH & Co.,organization,6,t
J Lyons & Company,organization,6,t
Ms Glover,person,6,f
Mr Jagland,person,6,f
Greater London Council,organization,6,f
the Charges Register,organization,6,f
Brian Tonna,person,6,t
the Department of Justice,organization,6,f
Marbella Urbanization,organization,6,f
Col Skripal,person,6,f
CITY OF WESTMINSTER,organization,6,f
BRIAN J,person,6,f
Department of Justice,organization,6,f
цнпэйнбяйюъ НАК,organization,6,f
Hillary Clinton,person,6,t
RG9 1NX,person,6,f
the White House,organization,6,f
Mr Lintner’s,organization,5,f
Robert Trump,person,5,t
Joseph Debono,person,5,t
Admiral Group Corporation,organization,5,t
Monitoring Committee,organization,5,f
Paul Manafort,person,5,t
the Council of Europe’s,organization,5,f
the SIGINT Seniors,organization,5,f
Gerald Knaus’,person,5,t
Northern District of,organization,5,f
Lisa Christoffersen’s,person,5,t
Agustín Conde,person,5,t
the Presidential Committee,organization,5,f
лю уюаюпнбяйнцн,person,5,f
EEA) Company Legal Form: LIMITED COMPANY,organization,5,f
 Mr,person,5,f
the Norwegian Intelligence Service,organization,5,f
Mr Kamaladdin Heydarov,organization,5,t
дмеопноерпнбяйюъ НАК,organization,5,f
Nan Shan District,person,5,f
Mr Grossruck,person,5,f
Labour Party,organization,5,t
нак геияйхи пюинм,person,5,f
лю ъйсряйни,person,5,f
CHARLTON INTERNATIONAL,organization,5,t
Caruana Galizia,person,5,t
Eduard Lintner,person,5,t
Mr Destexhe’s,person,5,f
Wojciech Sawicki,person,5,t
Frank Schwabe’s,person,5,t
Mr Dzhibladze,person,5,f
JORGE SALCEDO,person,5,t
European Parliament,organization,5,f
Pilatus Bank Limited,organization,5,t
Karin Strenz,person,5,t
Elkhan Suleymanov,person,5,t
 AS,person,5,f
the Consultative Assembly,organization,5,f
Alexander Nix,person,5,t
Dick Marty’s,person,5,t
C: Charges Register,organization,5,f
Access Info Europe,person,5,t
МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО,organization,5,f
the United States,organization,5,f
Trump administration,organization,5,f
Junta Directiva,organization,5,f
Bruno Muschitiello,person,5,t
Axel Fischer’s,person,5,t
Anne Brasseur’s,person,5,t
кер нйръапъ,person,5,f
Norwegian Intelligence Service,organization,5,t
Stefan Schennach’s,person,5,t
Harald Jepsen,person,5,t
Kamaladdin Heydarov,person,5,t
Evguenia Jivkova,person,5,t
Lilia Judith Tovar De Leon,person,5,t
J Lyons,person,5,f
Nede MILANA,person,5,t
Claude Moniquet’s,person,5,t
Mr Slutsky,person,5,f
Lisa Christoffersen,person,5,t
Ms Zakharova,person,5,f
Mayfair) Estate,organization,5,f
ндеяяйюъ НАК,organization,5,f
the EPP,organization,5,f
Björn Berge,person,4,t
Russian Federation,organization,4,f
нак ршцдхмяйхи пюинм,person,4,f
Trump Administration,organization,4,f
нак кемхмяйхи пюинм,person,4,f
Vladimir Putin’s,person,4,t
Ms Strenz,organization,4,f
Hong Shu Xian,person,4,t
BRIAN J. STRETCH,person,4,t
Pieter Omtzigt,person,4,t
SOCAR Ukraine,organization,4,t
Health and Sustainable Development,organization,4,f
Mr Strässer,organization,4,f
йюлвюряйюъ НАК,organization,4,f
Intelligence Services,organization,4,f
Mr Luca Volontè,person,4,t
Interparliamentary Cooperation Division,organization,4,f
Interparliamentary Cooperation,organization,4,f
West German,organization,4,f
Keith Schembri,person,4,t
Trump's Castle Associates',organization,4,t
National Security Council,organization,4,f
the Interior Ministry,organization,4,f
Zmago Jelinčič Plemeniti,person,4,t
лю ц.йнлянлнкэяйю,person,4,t
Anne Brasseur,person,4,t
the OSCE Parliamentary Assembly,organization,4,f
VICTORY GARDEN,organization,4,t
MGM Company,organization,4,t
Western European Union,organization,4,f
Commit Money Laundering,organization,4,f
бнкнцндяйюъ НАК,organization,4,f
Mint Global - contact,person,4,f
DvH Medien GmbH,organization,4,t
Consultative Assembly,organization,4,f
пъгюмяйюъ НАК,organization,4,f
Amnesty International,organization,4,t
Henley & Partners,organization,4,t
Centerra Gold,person,4,t
Mr Soros,person,4,f
IVAN ANTONIO MOLINO ALVAREZ,person,4,t
Helen Darbishire,person,4,t
The Intercept,organization,4,t
IVAN ANTONIO,organization,4,t
Foreign Public,organization,4,f
Chao Yang District,person,4,f
Guillermo Martínez Casañ,person,4,t
Andrew McCarthy,person,4,t
"the Committee on Rules of Procedure, Immunities and Institutional Affairs",organization,4,f
Netzwerk Programmanbietergesellschaft,organization,4,f
Stefanie Schiffer’s,person,4,t
the Washington Post,organization,4,f
Foreign Affairs,organization,4,f
the Election Observation,organization,4,f
P O Box,organization,4,f
Mr Ilgar Mammadov,person,4,t
Hamad Tariq Khalid Alhomaizi,person,4,t
WGC Guidance Note,organization,4,f
Jack Friedenrich,person,4,t
GREENS OF MAYFAIR,organization,4,f
Lise Christoffersen’s,person,4,t
Ricardo J . Alfaro,person,4,t
Mr Volontè’s,person,4,f
Mr Clerfayt,person,4,f
Col Skripal,organization,4,f
the George Soros Foundation,organization,4,f
Valores Democraticos,person,4,f
the COE,organization,4,f
йюпюцюмдхмяйюъ НАК,organization,4,f
Frank Slijper,person,4,t
йюкхмхмяйюъ НАК,organization,4,f
Mr Voisin,person,4,f
Yuri Dzhibladze,person,4,t
хбюмнбяйюъ НАК,organization,4,f
Mother Jones,person,4,t
Trump Castle,organization,4,t
Social Democrats,organization,4,f
Democratic Party,organization,4,f
Claude Moniquet,person,4,t
бнпнмефяйюъ НАК,organization,4,f
mbH Sachsen & Co. Betriebs-KG,organization,4,t
Division of Gaming Enforcement,organization,4,f
the Election Observation Division,organization,4,f
AARON & CIAN HOLDINGS LIMITED,organization,4,t
Interior Ministry,organization,4,f
The Washington Post,organization,4,t
van de,person,4,f
нак кемхмяй,organization,4,f
Holtzbrinck Ventures GmbH,organization,4,t
House Intelligence,organization,4,f
Miami Herald,organization,4,t
Internal Revenue Service,organization,4,f
Managed Service,organization,4,f
Jeffrey Sterling,person,4,t
The New York Times,organization,4,t
of Europe’s,organization,4,f
Stefan Candea,person,4,t
Justice Department,organization,4,f
Bernard Collaery,person,4,t
S. 14,organization,4,f
нак юпуюпхмяйхи пюинм,person,4,f
David Atkinson,person,4,t
гюонпнфяйюъ НАК,organization,4,f
Samad Seyidov’s,person,4,t
Steve Bannon,person,4,t
скэъмнбяйюъ НАК,organization,4,f
HERCEG NOVOM 22.01.2007,organization,4,f
Fox News,organization,4,f
Christian Kohls,organization,4,t
Military Intelligence,organization,4,f
Benjamin Netanyahu,person,4,t
Democratic National Committee,organization,4,f
J Lyons & Company Limited,organization,4,t
Aleksandr Kogan,person,4,t
Peter Gridling,person,4,t
Investigative Journalism,organization,4,f
News Releases,person,4,f
the Free Democrats Group,organization,4,f
фхрнлхпяйюъ НАК,organization,4,f
Westinghouse Pension Corporation,organization,4,t
BRIDGEWATER INTERNATIONAL,organization,4,t
Karin S,person,4,f
Jack Goldsmith,person,4,t
бхреаяйюъ НАК,organization,4,f
Shin Bet,person,4,t
Cezar Florin Preda,person,4,t
нак йшпхмяйхи пюинм,person,4,f
Roger Stone,person,4,t
Heydar Aliyev,person,4,t
Karin S. Woldseth,person,4,t
John Dalhuisen,person,4,t
Investment Services,organization,4,f
Ted Cruz,person,4,t
Вученович Ю.Д,person,4,f
Mark Zuckerberg,person,4,t
James Risen,person,4,t
йхпнбнцпюдяйюъ НАК,organization,4,f
David Petraeus,person,4,t
нак яйнбнпндхмяйхи пюинм,person,4,f
the Code of Conduct for,organization,4,f
нак чфмн,organization,4,f
РЕНО МЕГАН,person,4,t
Herceg Novi,organization,4,f
аекцнпндяйюъ НАК,organization,4,f
George Soros Foundation,organization,4,t
Rockwell Centre,organization,4,t
Stefanie Schiffer,person,4,t
Department of Transportation,organization,4,f
Al Jazeera,organization,4,t
PO Box,organization,4,f
Operation Merlin,person,4,f
нак вепмшьебяйхи пюинм,person,4,f
Ondřej Benešik,person,4,t
ъпнякюбяйюъ НАК,organization,4,f
Westinghouse Pension Investment Corporation,organization,4,t
рюланбяйюъ НАК,organization,4,f
Free Democrats Group,organization,4,f
Prospectus <,organization,4,f
Tamir Pardo,person,4,t
Sydney Morning Herald,organization,4,t
Department of Defense,organization,4,f
READING United Kingdom,organization,4,f
Soviet Union,organization,4,f
Quarterly Report,person,4,f
Ms Leyla Yunus,person,4,t
йспцюмяйюъ НАК,organization,3,f
Mr Cezar Florin Preda,person,3,t
Alfred Sixto,person,3,t
District of,organization,3,f
Mr Samad Seyidov,person,3,t
Rasul Jafarov,person,3,f
нак онпнмюияйхи пюинм,person,3,f
ябепдкнбяйюъ нак,organization,3,f
Alexander Buyanov,person,3,t
Mr Mignon,person,3,f
Doug Watts,person,3,t
OSCE Parliamentary,organization,3,f
Kurt Farrugia,person,3,t
Mr Jepsen,person,3,f
New Azerbaijan Party,organization,3,f
Volodymyr Ariev,person,3,t
Redevelopment Authority,organization,3,f
Credito Cooperativo,person,3,f
Verlagsgruppe Georg von Holtzbrinck GmbH,organization,3,t
жекхмнцпюдяйюъ НАК,organization,3,f
нак юмфепн,organization,3,f
Mr Lintner’s,person,3,f
SkyLock Results,organization,3,t
Jason Sherman,person,3,t
IVAN ANTONIO,person,3,t
кэбнбяйюъ НАК,organization,3,f
Reuters ► Stringer,person,3,f
Poramto Group,organization,3,t
Mr Drzemczewski,person,3,f
яюпюрнбяйюъ НАК,organization,3,f
яелхоюкюрхмяйюъ НАК,organization,3,f
the Committee on Political Affairs and Democracy,organization,3,f
Jelinčič Plemeniti,person,3,t
нак хятюпхмяйхи пюинм,person,3,f
Castle Funding,person,3,t
Bogdan Torcătoriu,person,3,t
Socialist Group,organization,3,f
Nikolay Kuxmenkn,person,3,t
Phantom Secure,organization,3,t
Media AG,organization,3,t
Mitt Romney,person,3,t
Mr Stefan Schennach,person,3,t
The Bureau,organization,3,f
лю ц.аюйс,person,3,f
Access Info,person,3,t
Atlanta Mayor,organization,3,f
нак оерпноюбкнбяй,organization,3,f
the Islamic State,organization,3,f
HARROW VENTURES LIMITED,organization,3,t
The Daily Beast,organization,3,t
the 13,organization,3,f
The Court,organization,3,f
Elchin Mammadov,person,3,t
the PACE Bureau,organization,3,f
Mr Agustín Conde,person,3,t
Seniors Europe,organization,3,f
Hai Zhu District,person,3,f
Friedrich Lindenberg,person,3,t
Julian Assange,person,3,t
Deutschland Holding AG,organization,3,t
Mr Marty,person,3,f
Axel Springer AG,organization,3,t
Mr Destexhe,organization,3,f
Investment Corporation,organization,3,f
Robert Mueller,person,3,t
Ms Doris Fiala,person,3,t
Kvaerner House,organization,3,f
Gareth Porter,person,3,t
Seattle Mayor Ed Murray,person,3,t
Noor Muhammed,person,3,t
Mr Elchin Mammadov,person,3,t
Associated Press,organization,3,f
Pattern Mining,organization,3,f
Infowarrior / https://attrition.org/mailman/listinfo/infowarrior,organization,3,f
цпндмемяйюъ НАК,organization,3,f
Republican Party,organization,3,f
de Afdeling,organization,3,f
West Bank,organization,3,f
лю ц.йнлянлнкэяй,person,3,f
the Supreme Court,organization,3,f
the Monitoring Committee’s,organization,3,f
the European Commission of Human Rights,organization,3,f
First Floor Apartment A,organization,3,f
van de AIVD,person,3,f
Ehud Olmert,person,3,t
the Advisory Committee,organization,3,f
Standing Committee,organization,3,f
Trident Chambers,person,3,t
the First Schedule,organization,3,f
States of the Council of Europe,organization,3,f
Mr Jónasson,person,3,f
1NX HENLEY,person,3,f
Ms Filipović,organization,3,f
Internet Research Agency,organization,3,t
Atlanta Mayor Kasim Reed,person,3,t
Reading Berkshire RG1,organization,3,f
Carl Aage Nørgaard,person,3,t
Sebastian Kurz,person,3,t
anton Business,person,3,f
L.G.V. s.r.l,organization,3,t
Rasul Jafarov,organization,3,t
Г . МОСКВЕ,person,3,f
WILLIAM FRENTZEN,person,3,t
The Public Advocate,organization,3,f
Luigi Vitali,person,3,t
Freedom of Information,organization,3,f
Ms Ojuland,person,3,f
de Panama,organization,3,f
Texas Department,organization,3,f
цнлекэяйюъ НАК,organization,3,f
AuRico Metals,organization,3,t
North Korean,organization,3,f
дфегйюгцюмяйюъ НАК,organization,3,f
the Department of Defense,organization,3,f
Ed Murray,person,3,t
Caruana Galizia's,person,3,t
SAN FRANCISCO,organization,3,f
the Democratic National Committee,organization,3,f
DISTRICT COURT,organization,3,f
йпшляйюъ НАК,organization,3,f
the Group of States against Corruption,organization,3,f
International Business,organization,3,f
The Century Tower,organization,3,t
SeeTmnslailon 2w,person,3,f
the UK Parliament,organization,3,f
Petro Poroshenko,person,3,t
the Azerbaijani Parliament,organization,3,f
the House Intelligence Committee,organization,3,f
Events &,organization,3,f
Farrugia Kurt,person,3,t
Unlawful Monetary Transactions,organization,3,f
лнцхкебяйюъ НАК,organization,3,f
Seattle Mayor,organization,3,f
The NSA,organization,3,f
Mr Hancock,organization,3,f
THAMES OXFORDSHIRE United,organization,3,t
BRIDGEWATER INTERNATIONAL INVESTMENTS LIMITED,organization,3,t
OF MAYFAIR,organization,3,f
Microsoft Office,organization,3,f
нак яепшьебяйхи пюинм,person,3,f
Milica Marković,person,3,t
Shareholder Information,organization,3,f
Jens Franssen,person,3,t
the Department of Transportation,organization,3,f
нак ъцндмхмяйхи пюинм,person,3,f
Pilatus Bank,organization,3,t
Israel Defense Forces,organization,3,t
Schembri Keith,person,3,t
Harald Jepsen’s,person,3,t
Vernon Emmanuel Salazar Zurita,person,3,t
Government of,organization,3,f
Mr Walter’s,person,3,f
the Committee on Legal Affairs,organization,3,f
the NSA,organization,3,f
ньяйюъ НАК,organization,3,f
Mr Eduard Lintner,organization,3,t
Mr Xuclà’s,person,3,f
Stock Information,organization,3,f
Theresa May,person,3,t
The Times,organization,3,t
апеяряйюъ НАК,organization,3,f
Meir Dagan,person,3,t
Azerbaijan Republic - NEWS,organization,3,f
the Associated Press,organization,3,t
THE PARLIAMENTARY ASSEMBLY,organization,3,f
Gultakin Hajibayli,person,2,t
The Secret Service,organization,2,f
бхммхжйюъ НАК,organization,2,f
Queens Road,organization,2,f
Omar Hodge,person,2,t
Mark Hamill,person,2,t
нак аюкеияйхи пюинм,person,2,f
Palo Alto Networks,organization,2,t
нак ункляйхи,person,2,f
BAE Systems,organization,2,t
B. Scope,person,2,f
Despina Chatzivassiliou,person,2,t
Blok Kat,person,2,f
Morten Haga Lunde,person,2,t
Michael Kröemmer,person,2,t
the Yellow Roadway,person,2,t
Ashmavmv Nikolai Kuzrneriko,person,2,t
Hubert Humphrey,person,2,t
Kimmo Sasi,person,2,t
Mr Cezar Florin Preda,organization,2,t
Patrick Moriau,person,2,t
Cable Holding,organization,2,t
KNIGHTSBRIDGE CONSULTANCY LIMITED,organization,2,t
Н . Хамфри,person,2,t
MTP Point Codes,organization,2,f
PACE Monitoring Committee,organization,2,f
the Permanent Court of Arbitration,organization,2,f
Kristof Bender,person,2,t
Community Development,organization,2,f
ояйнбяйюъ НАК,organization,2,f
the IEOM,organization,2,f
Rick Gates,person,2,t
Crown House,organization,2,t
Kasim Reed,person,2,t
van de KNMG,person,2,f
Tom Leinster,person,2,t
Michele Nicoletti,person,2,t
the Committee on the Election of Judges,organization,2,f
Herceg Novi,person,2,f
Queens Road Reading Berkshire RG1,organization,2,f
Hiba Tariq Khalid Alhomaizi,person,2,t
Czech Center,organization,2,f
TODOR JMBG,person,2,t
MOONLIGHT INTERNATIONAL LIMITED,organization,2,t
Recommendation CM,person,2,f
the Venice Commission’s,organization,2,f
USSD & OTA,organization,2,f
Mike Rogers,person,2,t
Intigam Aliyev,organization,2,t
Conservative Party,organization,2,f
Alexandra Stiglmayer,person,2,t
the Parliamentary Assembly of the OSCE,organization,2,f
BARBARA J,person,2,f
John Dalton Cotton,person,2,t
Partido Popular,organization,2,f
Ms Fiala,person,2,f
Günther Oswald,person,2,t
Cian Holdings,organization,2,t
Urbanizacion Marbella,organization,2,f
Mike Pompeo,person,2,t
Orbis Business Intelligence,organization,2,t
Ars Technica,person,2,t
Samir Hashmi,person,2,t
Roman Franck,person,2,t
уюпэйнбяйюъ НАК,organization,2,f
Австралии Тони Эббот срочно,person,2,f
Xing Long Du Shi Xin Yuan,person,2,t
Defense Committee,organization,2,f
Malik M.,person,2,f
Hibi Tariq Khalid Alhomaizi,person,2,t
Manchester Arena,organization,2,f
Tom Cotton,person,2,t
Ingjerd Schou,person,2,t
OLAF Staff,person,2,f
Zhejiang University,organization,2,t
Republic of,organization,2,f
WALTER N,person,2,f
Guang Ding,person,2,t
Secretariat of the PACE Committee of Legal Affairs,organization,2,f
Ahmed Abdulrahman Al Bassam,person,2,t
Jawher Ahmed H Alsaid,person,2,t
Alex Tayler,person,2,t
the ODIHR,organization,2,f
Damian Collins,person,2,t
Mr Suleymanov,organization,2,f
European Stability,organization,2,f
Sky News Australia,organization,2,t
Army Corps,organization,2,f
Mr Mignon,organization,2,f
a State Party,organization,2,f
Lernende Lernen,person,2,f
Rule 69,person,2,f
Hiba Tariq Khalid Alhomaizi,organization,2,t
Daniel Ellsberg,person,2,t
Judith Miller,person,2,t
Wlodzimierz Bernacki,person,2,t
Gan Ian Yin Xiang,person,2,t
Leiter Peter,person,2,t
Ben Carson’s,person,2,t
Leon Stafford,person,2,t
нак оерпнбяй,organization,2,f
Saint Petersburg University,organization,2,f
ZX Spectrum,organization,2,t
Utrecht Centraal,organization,2,f
Bits of Freedom,organization,2,t
Аль - Каиды,organization,2,f
Darren Osborne,person,2,t
Guang Zhou,person,2,t
Vladimir Drinkman,person,2,t
Kirsten Gillibrand,person,2,t
Alexander Arabadjiev,person,2,t
Leonid Brezhnev,person,2,t
Полиция австралийского Сиднея,person,2,f
йнйверюбяйюъ НАК,organization,2,f
Mark Jablonowski,person,2,t
Warren Buffett,person,2,t
Ms Stella Kyriakides,person,2,t
JOHN E. ADAMS,person,2,t
Michael Harris,person,2,t
SkyLock Package Options,organization,2,f
Level 2 - Numbering 1,person,2,f
Advanced Exploration,organization,2,f
E. Russian Federation,organization,2,f
Studio d.o.o,organization,2,t
von Peter Goldgruber,person,2,t
Binyam Muhammed,person,2,t
de AVERE,person,2,f
Resource Estimate,organization,2,f
Kees Kalkman / VDAmok / Utrecht NL / kees@amok.antenna.nl,organization,2,t
Jeffrey Jay Ruest,person,2,t
Mr Patrick Moriau,person,2,t
Ms Brasseur,organization,2,f
Michael Maharrey,person,2,t
Cambridge Analytica’s,person,2,t
Mr Tonna,person,2,f
Google Docs,organization,2,f
Q3 Summary,person,2,f
Cambridge Analytica’s,organization,2,t
лю люцюдюмяйни,person,2,f
British Airways,organization,2,t
Boris Yeltsin,person,2,t
нбд жемрп.п,person,2,f
Analyst Coverage,person,2,f
Телеканал 9News,organization,2,t
Trump’s State Department,organization,2,f
Mr Wolfgang Grossruck,person,2,t
Matt Oczkowski,person,2,t
CASINO CONTROL COMMISSION,organization,2,t
WAZ Mediengruppe,organization,2,t
лю бнпньхкнбцпюдяйни нак,organization,2,f
Department of Public Information,organization,2,f
Drew Sullivan,person,2,t
Leslie Stein,person,2,t
Soren Seelow,person,2,t
John Podesta,person,2,t
the First Property,organization,2,f
Ali Sadr Hashelninejad,person,2,t
Jian Guo Men Wai,person,2,t
Sky News Australia . Полиция,organization,2,f
the National Security Archive,organization,2,t
Ingrid Schwarz,person,2,t
Mining &,organization,2,f
National Archives,organization,2,f
Nova banka,organization,2,t
нак онкеяяйхи пюинм,person,2,f
Daniel Goulet,person,2,t
Luc Van Den Brande,person,2,t
Appendix VI,organization,2,f
EduCamp 2008,organization,2,f
Line M-Trade,organization,2,t
Delphine Freymann,person,2,t
Louis Bruguière,person,2,t
Mr Michael McNamara,person,2,t
Ji Da,person,2,t
Mohamed Ahmed Mohamed Said Elsheikh,person,2,t
UN Information Access Policy,organization,2,f
ксцюмяйюъ НАК,organization,2,f
the Minsk Group,organization,2,t
